,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,grade
282,2050000.0,5,3.0,3830,8480,2.0,5,9
283,780000.0,4,2.5,3500,7048,2.0,3,9
284,330000.0,3,3.0,2420,13959,1.0,4,8
285,370000.0,4,2.5,2720,8666,2.0,3,9
286,467000.0,5,2.25,2500,13500,1.0,3,7
287,405000.0,3,1.75,1670,6720,1.0,3,7
288,675000.0,5,2.25,2900,10300,1.0,3,8
289,500000.0,2,1.0,1640,14100,1.0,4,7
290,389999.0,4,2.5,1890,15770,2.0,4,7
291,630000.0,4,1.75,2950,9025,1.0,4,8
292,360000.0,4,2.5,2160,9528,2.0,3,9
293,580000.0,4,3.0,3280,11060,2.0,3,8
294,550000.0,3,2.0,1970,4166,2.0,5,8
295,879000.0,4,2.5,3360,22111,2.0,3,10
296,265000.0,3,2.0,1320,8959,1.0,3,7
297,446500.0,3,2.5,2650,7286,2.0,3,8
298,404000.0,3,1.5,2030,8880,1.0,3,7
299,267500.0,3,1.75,1590,11914,1.0,3,7
300,3075000.0,4,5.0,4550,18641,1.0,3,10
301,335000.0,3,2.5,2440,7632,2.0,3,8
302,576000.0,3,2.5,1940,9000,1.0,4,7
303,208633.0,3,2.5,2040,3810,2.0,3,8
304,315000.0,3,2.25,2200,8750,1.0,4,7
305,725000.0,3,1.75,1920,3300,1.0,4,8
306,550000.0,4,2.75,1800,7750,1.0,4,8
307,610750.0,4,2.25,2180,7297,2.0,3,8
308,550700.0,2,1.0,1010,5000,1.5,4,6
309,665000.0,4,2.75,3320,10574,2.0,5,8
310,834000.0,4,2.5,2370,4000,1.5,5,8
311,201000.0,5,1.75,1660,78408,1.5,3,6
312,2384000.0,5,2.5,3650,9050,2.0,5,10
313,1384000.0,4,3.25,4290,12103,1.0,3,11
314,1400000.0,4,3.25,4290,12103,1.0,3,11
315,305000.0,4,2.25,1950,7700,1.0,3,8
316,487000.0,3,2.0,2590,14052,1.0,5,8
317,390000.0,3,2.5,1930,64904,1.0,4,8
318,548000.0,2,1.0,1470,3864,1.0,4,7
319,268750.0,4,1.0,800,8775,1.0,3,6
320,819900.0,5,2.75,3150,7119,2.0,3,9
321,520000.0,3,2.25,2030,16200,2.0,3,8
322,230000.0,3,2.0,1450,11204,1.0,3,7
323,240000.0,3,1.75,1510,10248,1.0,3,7
324,232000.0,2,1.0,1240,12092,1.0,3,6
325,240500.0,2,1.0,1240,12092,1.0,3,6
326,274975.0,3,2.5,3030,45004,2.0,3,9
327,740000.0,4,2.0,2050,4400,1.5,4,9
328,186375.0,3,1.0,1000,7636,1.0,2,7
329,790000.0,3,2.25,2370,10289,1.0,4,9
330,880000.0,4,3.5,2800,6750,2.0,3,9
331,279000.0,6,1.75,2240,11180,2.0,4,7
332,295000.0,3,2.0,1810,10530,1.0,3,8
333,640000.0,2,1.0,1070,5000,1.0,3,7
334,940000.0,4,2.0,2490,9525,2.0,5,9
335,260000.0,4,2.5,1960,5238,2.0,3,7
336,559900.0,3,2.75,2930,5569,1.0,3,9
337,791500.0,4,2.0,1510,3500,1.5,5,7
338,265000.0,3,1.75,1420,8250,1.0,3,7
339,245000.0,3,1.75,1740,11547,1.0,3,7
340,485000.0,4,1.75,2560,43995,2.0,4,7
341,684000.0,4,3.5,3040,8414,2.0,3,9
342,425000.0,3,1.75,2500,6840,1.0,3,8
343,309600.0,4,1.75,1275,20000,1.0,4,6
344,552250.0,4,2.5,2580,5823,2.0,3,8
345,165000.0,4,1.0,1000,7134,1.0,3,6
346,239900.0,4,1.0,1000,7134,1.0,3,6
347,320000.0,2,1.0,1070,32633,1.0,4,6
348,206600.0,3,2.0,1390,13464,1.0,4,7
349,387000.0,4,1.75,2500,7690,1.0,3,7
350,299000.0,1,0.75,560,12120,1.0,3,4
351,855000.0,4,2.75,2270,10460,2.0,3,9
352,315000.0,3,1.0,1900,14400,1.0,4,7
353,437500.0,2,1.0,990,3120,1.0,5,7
354,252000.0,4,1.5,1550,19800,1.0,4,7
355,375000.0,4,1.75,2200,7475,1.0,5,7
356,300000.0,4,2.5,1910,4862,2.0,3,7
357,420000.0,4,1.0,1750,9600,1.5,4,7
358,900000.0,3,1.0,1330,77972,1.0,3,7
359,679900.0,3,2.5,2440,5750,2.0,3,9
360,463000.0,3,2.5,1640,29970,2.0,3,7
361,380000.0,5,2.5,2760,11340,2.0,4,9
362,329500.0,4,2.5,1820,7912,2.0,3,7
363,604950.0,3,2.5,2110,5608,1.0,3,8
364,795000.0,5,2.5,3040,9570,1.0,4,8
365,465000.0,3,2.0,1840,40438,2.0,3,7
366,673000.0,4,2.5,2990,10400,2.0,3,9
367,810000.0,4,2.5,3520,15420,2.0,3,10
368,785000.0,4,2.75,2440,69415,1.0,4,8
369,338000.0,4,3.0,2090,7500,1.0,3,7
370,280000.0,3,2.25,1430,7222,2.0,3,7
371,315000.0,4,2.25,2180,10754,1.0,5,7
372,530000.0,4,2.25,2180,10754,1.0,5,7
373,380000.0,5,3.0,3450,9914,2.0,3,9
374,297000.0,3,2.25,1450,7562,2.0,3,7
375,730000.0,4,2.5,3230,7331,2.0,3,10
376,450000.0,3,1.75,1640,13500,1.0,3,7
377,275000.0,3,3.0,1590,7750,1.0,3,7
378,595000.0,4,2.0,2020,2849,2.0,3,7
379,435000.0,3,1.5,1300,3348,1.5,3,7
380,270000.0,2,1.5,1380,209959,1.0,1,6
381,950000.0,3,3.0,4040,14338,2.0,3,10
382,389000.0,4,2.25,2130,5337,2.0,3,7
383,560000.0,4,2.25,2550,7800,1.0,3,8
384,1350000.0,5,3.5,4800,14984,2.0,3,11
385,799000.0,4,2.25,2510,11585,2.0,4,8
386,365500.0,3,2.0,1410,9600,1.0,4,7
387,252350.0,3,2.0,1650,7352,1.0,3,7
388,403950.0,4,2.5,2120,13780,2.0,3,8
389,385000.0,4,1.5,2040,10726,1.0,3,7
390,345000.0,4,1.0,1550,7620,1.5,3,7
391,490000.0,3,2.75,1980,3128,2.0,4,9
392,330000.0,3,2.5,1600,26977,2.0,3,8
393,927000.0,4,2.75,3300,12090,2.0,3,8
394,1118000.0,4,2.5,3840,16619,2.0,4,10
395,330000.0,2,1.0,1220,10000,1.0,5,7
396,530000.0,5,2.25,2720,8800,1.0,4,7
397,365000.0,4,2.0,1940,25600,1.0,1,8
398,378750.0,3,2.5,2160,3000,1.5,3,7
399,269900.0,4,1.75,1530,8750,1.5,4,7
400,557000.0,3,3.5,1710,2096,2.0,3,8
401,360000.0,4,1.75,3730,16980,1.0,4,7
402,352000.0,2,1.0,940,5000,1.0,4,7
403,437000.0,3,2.5,1750,22357,2.0,3,8
404,322500.0,4,2.5,1820,6753,2.0,3,7
405,650000.0,3,3.25,1510,2000,2.0,3,9
406,450000.0,3,2.0,1290,1213,3.0,3,8
407,278500.0,3,2.0,1570,5250,1.0,3,7
408,364950.0,4,2.5,1930,6957,2.0,3,8
409,840000.0,4,3.5,2840,40139,1.0,4,10
410,268000.0,3,2.5,1550,8134,2.0,3,7
411,517534.0,2,1.0,833,143947,1.0,3,5
412,632925.0,3,2.5,2990,32239,2.0,4,8
413,577500.0,3,2.5,2000,7251,2.0,3,9
414,339000.0,4,1.5,2390,7480,1.5,3,7
415,570000.0,3,1.75,2910,37461,1.0,4,7
416,563500.0,4,1.75,2085,174240,1.0,3,7
417,423000.0,4,2.25,2200,9351,1.0,5,7
418,355000.0,3,2.25,1860,5028,2.0,3,8
419,1550000.0,5,4.25,6070,171626,2.0,3,12
420,482000.0,2,1.0,950,3960,1.0,3,7
421,625000.0,3,1.75,1600,9135,1.0,5,7
422,538000.0,3,2.5,2250,11632,2.0,3,8
423,380000.0,3,2.5,2280,10255,2.0,4,8
424,375000.0,2,1.0,940,5120,1.0,3,7
425,245000.0,3,2.5,1530,8500,1.0,5,7
426,310000.0,5,1.75,2190,27260,1.0,4,7
427,1300000.0,3,2.0,2350,15021,1.0,4,8
428,397000.0,4,2.0,1440,7680,1.0,3,7
429,365000.0,3,2.5,2200,4052,2.0,3,8
430,328500.0,4,3.0,2290,8250,2.0,3,9
431,988000.0,4,3.0,4040,19700,2.0,3,11
432,1000000.0,4,2.5,2610,3277,1.5,5,8
433,237000.0,3,2.5,1490,2138,2.0,3,7
434,525000.0,4,2.5,2450,5280,2.0,3,8
435,749000.0,4,2.5,1710,9627,1.0,3,9
436,722500.0,5,2.5,4870,11800,2.0,3,10
437,843000.0,3,2.5,3130,8750,2.0,3,10
438,438000.0,2,2.0,1270,1372,3.0,3,8
439,578000.0,3,1.75,2120,10875,1.0,3,8
440,227950.0,3,1.5,1670,8230,1.0,5,7
441,196000.0,3,2.25,2070,11576,2.0,3,7
442,641000.0,2,1.0,1420,5332,1.0,3,8
443,350000.0,3,1.5,1250,219978,1.0,4,6
444,205000.0,3,1.0,940,7980,1.0,4,7
445,400000.0,3,1.75,1920,9102,1.0,3,7
446,1030000.0,3,2.5,3545,9816,1.0,3,10
447,505000.0,3,2.0,1260,5460,1.0,3,7
448,475000.0,5,2.5,2340,7200,1.0,3,7
449,520000.0,3,2.25,2590,9263,1.0,5,8
450,1450000.0,3,4.5,3970,24920,2.0,3,10
451,333500.0,3,1.75,1220,9732,1.0,3,7
452,232000.0,3,1.0,1400,10403,1.0,4,6
453,691100.0,3,2.75,2360,16117,1.0,4,8
454,811000.0,3,1.75,1870,9897,1.0,4,8
455,551000.0,3,2.5,2830,5802,2.0,3,9
456,496500.0,3,2.5,2260,3640,2.0,3,8
457,705000.0,3,3.0,1970,20978,2.0,4,9
458,578000.0,4,2.5,3140,9225,1.0,5,9
459,255000.0,3,1.75,1240,8659,1.0,5,7
460,1050000.0,4,3.5,3450,7832,2.0,3,10
461,348000.0,3,2.25,2570,8491,2.0,4,8
462,230000.0,3,2.0,1510,3413,2.0,3,7
463,359500.0,4,2.25,2390,11250,2.0,3,9
464,330000.0,3,1.0,980,7000,1.0,3,6
465,80000.0,1,0.75,430,5050,1.0,2,4
466,465000.0,3,1.75,1480,6360,1.0,3,7
467,325000.0,4,2.5,1850,7324,2.0,3,8
468,340500.0,3,2.0,2270,28025,1.0,4,7
469,342500.0,3,2.5,1810,5192,2.0,3,8
470,290900.0,2,2.0,1610,17600,2.0,3,6
471,868700.0,3,4.25,3840,6161,2.0,3,10
472,1199000.0,4,2.75,4110,8400,2.0,3,9
473,1150000.0,4,3.25,4190,10259,2.0,3,11
474,859900.0,4,2.75,3390,6298,2.0,3,9
475,520000.0,4,2.25,1890,3006,2.0,3,7
476,460000.0,3,2.5,1610,2527,2.0,3,9
477,438924.0,3,1.5,1050,4590,1.0,3,7
478,315000.0,2,1.0,630,6550,1.0,3,5
479,590000.0,4,2.75,2910,10650,1.0,3,8
480,378500.0,4,1.75,1700,8640,1.0,3,7
481,328500.0,3,2.5,1950,8130,2.0,4,9
482,849950.0,3,3.0,2990,9773,2.0,4,8
483,525000.0,3,1.5,1350,6000,1.0,3,7
484,1385000.0,4,3.25,4860,181319,2.5,3,9
485,295000.0,4,2.5,2160,7725,1.0,4,8
486,1067000.0,6,3.5,4860,11793,2.0,3,11
487,207950.0,2,2.0,890,5000,1.0,3,6
488,699900.0,4,2.75,2810,7302,2.0,3,9
489,1280000.0,5,2.5,3400,9500,2.0,4,8
490,452000.0,4,1.5,1580,7350,1.0,4,7
491,370000.0,3,2.0,1680,5036,1.0,4,7
492,232000.0,3,1.75,1300,11230,1.0,5,7
493,669950.0,5,2.5,2820,14062,2.0,4,7
494,397500.0,3,2.0,1510,6710,1.0,3,7
495,490000.0,2,2.5,1230,1391,2.0,3,8
496,725000.0,4,2.0,2110,4140,2.0,3,9
497,299000.0,3,2.75,3080,19635,1.0,4,7
498,625000.0,2,1.5,1490,5750,1.5,4,7
499,437500.0,3,2.5,2120,4500,2.0,3,7
500,650000.0,4,2.5,3180,5438,2.0,3,9
501,475000.0,2,1.0,1490,3825,1.0,3,7
502,342000.0,3,2.0,1930,11947,1.0,4,8
503,1197350.0,4,2.5,2770,7800,2.0,3,10
504,280000.0,3,1.5,1670,11610,1.0,4,7
505,240000.0,2,1.75,1330,7200,1.0,3,7
506,529000.0,3,1.0,1210,3328,1.5,4,7
507,442000.0,3,1.0,1190,5100,1.0,4,7
508,615000.0,2,1.0,1540,6872,1.0,4,7
509,1485000.0,4,3.75,4030,10800,2.0,3,10
510,585000.0,4,1.75,2430,7559,1.0,4,8
511,480000.0,4,2.5,2600,7787,2.0,3,8
512,1095000.0,5,3.5,4410,57063,2.0,4,9
513,290000.0,4,1.0,1330,8184,1.5,3,7
514,615000.0,3,1.75,1900,5000,1.0,5,7
